label,title,content
10,Nidularium marigoi, Nidularium marigoi is a species of the genus Nidularium. This species is endemic to Brazil.
0,Aerovis Airlines, Aerovis Airlines is a cargo airline based in Kiev Ukraine. It was established in 2003 and operates charter cargo services within Ukraine the European Union the Middle-East and Africa.
2,Shin Kyeong-nim, Shin Kyeong-nim (Hangul: 신경림) is a South Korean writer who is known as a poet of the people
12,Tapasya (1992 film), Tapasya is a 1992 Nepalese movie produced by Roshana Films. It is directed by Narayan Puri.It stars Saroj Khanal Gauri Malla Beena Basnet and Karishma Manandhar in lead roles.
10,Geum rivale, Geum rivale the water avens is a flowering plant of the family Rosaceae. Other names for the plant are nodding avens drooping avens cure-all water flower and indian chocolate. It is native to much of Europe with the exception of Mediterranean areas as well as some parts of Central Asia and North America. In North America it is known as purple avens.
1,Raleigh Charter High School, Raleigh Charter High School is a free independent public school chartered by the North Carolina State Board of Education. It was founded in 1998 by parents of eighth graders at Magellan Charter School.From its inception through the 2010-2011 school year Raleigh Charter occupied the historic Pilot Mill behind Peace College in downtown Raleigh. Over the summer of 2011 the school moved to the former Methodist Building on Glenwood Avenue.
7,Boundary Channel, Boundary Channel is a channel off the Potomac River in Washington D.C. The channel begins at the northwestern tip of Columbia Island extends southward between Columbia Island and the Virginia shoreline. It curves around the southern tip of Columbia Island before heading northeast to exit into the Potomac River. At the southwestern tip of Columbia Island the Boundary Channel widens into the manmade Pentagon Lagoon.
3,Bogdan Nicolae, Bogdan Nicolae (born 26 April 1976 Bucureşti) is a former Romanian footballer. He last played for Juventus Bucureşti
8,Eshkat Deraz, Eshkat Deraz (Persian: اشكت دراز‎ also Romanized as Eshkat Derāz) is a village in Godeh Rural District in the Central District of Bastak County Hormozgan Province Iran. At the 2006 census its existence was noted but its population was not reported.
7,Valea lui Bibaț River, The Valea lui Bibaţ River is a tributary of the Ampoi River in Romania.
10,Haden (mango), The 'Haden' mango (or 'Hayden') is a named mango cultivar that became one of the most widely cultivated in the world after it was introduced in the early 20th century through south Florida. It would ultimately become the parent of many other mango cultivars later developed in Florida.
4,Jim Pollock, Jim Pollock (born July 8 1930) is a retired politician in Ontario Canada. He was a Progressive Conservative member of the Legislative Assembly of Ontario from 1981 to 1990.
0,Ableton, Ableton AG is a Berlin-based music software company that produces and distributes the production and performance program Ableton Live and the more advanced Ableton Suite as well as a collection of related instruments and sample libraries.
12,Phantasm III: Lord of the Dead, Phantasm III: Lord of the Dead is a 1994 horror film and the second sequel to Phantasm also written and directed by Don Coscarelli. The film stars Angus Scrimm as the Tall Man Reggie Bannister and A. Michael Baldwin. It is followed by Phantasm IV: Oblivion.
9,Mordellistena parasimilaris, Mordellistena parasimilaris is a species of beetle in the Mordellistena genus that is in the Mordellidae family. It was described by Ermisch in 1977.
1,Fellow of the Royal Australasian College of Physicians, Fellow of the Royal Australian College of Physicians abbreviated as the post-nominal initials FRACP is a recognition of the completion of the prescribed postgraduate specialist training programme in internal adult or internal paediatric medicine of the Royal Australasian College of Physicians.
1,National Technological University – Haedo Regional Faculty, The National Technological University – Haedo Regional Faculty (Castilian:Universidad Tecnológica Nacional - Facultad Regional Haedo (UTN-FRH)) is an affiliate of the Universidad Tecnológica Nacional the leading institution of its type in Argentina. Located in Haedo a western suburb of Buenos Aires it was established in 1967 and offers academic degrees in the following subjects: Aeronautical Engineering Electronic Engineering Industrial Engineering Mechanical Engineering
9,Protocollyris, Protocollyris is a genus of beetles in the family Carabidae containing the following species: Protocollyris antennalis (Horn 1909) Protocollyris brevilabris (Horn 1893) Protocollyris bryanti Mandl 1975 Protocollyris faceta Naviaux & Cassola 2005 Protocollyris festiva Naviaux 2008 Protocollyris fragilis Naviaux 2004 Protocollyris grossepunctata (Horn 1935) Protocollyris longiceps Mandl 1975 Protocollyris mindanaoensis (Mandl 1974) Protocollyris montana Naviaux 2008 Protocollyris nilgiriensis Naviaux 2003 Protocollyris okajimai Mandl 1982 Protocollyris pacholatkoi Naviaux 2003 Protocollyris philippinensis (Mandl 1974) Protocollyris planifrons (Horn 1905) Protocollyris probsti Naviaux 1994 Protocollyris sauteri (Horn 1912) ↑
12,The Edge (1997 film), The Edge is a 1997 American survival drama film directed by Lee Tamahori and starring Anthony Hopkins and Alec Baldwin. Bart the Bear a trained Kodiak Bear known for appearances in several Hollywood movies also appears in the film as a vicious grizzly; this was one of his last film roles.
3,Leroy Holt, Leroy Holt (born March 16 1967 in Carson California) is a former American football fullback from the University of Southern California.
2,Arthur Alexander, Arthur Alexander (May 10 1940 – June 9 1993) was an American country songwriter and soul singer. Jason Ankeny music critic for Allmusic said Alexander was a country-soul pioneer and that though largely unknown his music is the stuff of genius a poignant and deeply intimate body of work on par with the best of his contemporaries. Alexander wrote songs publicized by such stars as the Beatles the Rolling Stones Otis Redding Tina Turner and Jerry Lee Lewis.
5,HMAS Wilcannia, HMAS Wilcannia (FYP2 WN) was a 1049-ton anti-submarine and patrol vessel of the Royal Australian Navy (RAN).Wyrallah was built in 1934 by Burmeister & Wain Copenhagen as a cargo passenger motor vessel for the North Coast Steam Navigation Company.She plied the Richmond River to Sydney run. At the start of World War II Wyrallah was requisitioned and was commissioned into the RAN as an anti-submarine vessel on 2 September 1940.
1,Adoni Arts and science college, The Adoni Arts and Science College is a private aided college in Adoni Kurnool District Andhra Pradesh India.
10,Euphorbia ankaranae, Euphorbia ankaranae is a species of plant in the Euphorbiaceae family. It is endemic to Madagascar. Its natural habitat is rocky areas. It is threatened by habitat loss.
13,The Horns of Elfland, The Horns of Elfland is a 1997 fantasy anthology edited by Ellen Kushner Delia Sherman and Donald G. Keller.
0,Duckhorn Vineyards, Duckhorn Vineyards is a boutique winery in St. Helena California specializing in premium Merlot wines.
