null,0,1,label,selection
"Consider the following example: '''  Nidularium marigoi is a species of the genus Nidularium. This species is endemic to Brazil. '''
Choice 1: plant. Choice 2: natural place.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Nidularium marigoi is a species of the genus Nidularium. This species is endemic to Brazil. '''
Choice 1: plant. Choice 2: natural place.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Nidularium marigoi is a species of the genus Nidularium. This species is endemic to Brazil. '''
Choice 1: plant. Choice 2: natural place.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following example: '''  Aerovis Airlines is a cargo airline based in Kiev Ukraine. It was established in 2003 and operates charter cargo services within Ukraine the European Union the Middle-East and Africa. '''
Choice 1: company. Choice 2: album.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Aerovis Airlines is a cargo airline based in Kiev Ukraine. It was established in 2003 and operates charter cargo services within Ukraine the European Union the Middle-East and Africa. '''
Choice 1: company. Choice 2: album.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Aerovis Airlines is a cargo airline based in Kiev Ukraine. It was established in 2003 and operates charter cargo services within Ukraine the European Union the Middle-East and Africa. '''
Choice 1: company. Choice 2: album.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following example: '''  Shin Kyeong-nim (Hangul: 신경림) is a South Korean writer who is known as a poet of the people '''
Choice 1: artist. Choice 2: animal.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Shin Kyeong-nim (Hangul: 신경림) is a South Korean writer who is known as a poet of the people '''
Choice 1: artist. Choice 2: animal.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Shin Kyeong-nim (Hangul: 신경림) is a South Korean writer who is known as a poet of the people '''
Choice 1: artist. Choice 2: animal.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following example: '''  Tapasya is a 1992 Nepalese movie produced by Roshana Films. It is directed by Narayan Puri.It stars Saroj Khanal Gauri Malla Beena Basnet and Karishma Manandhar in lead roles. '''
Choice 1: artist. Choice 2: film.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Tapasya is a 1992 Nepalese movie produced by Roshana Films. It is directed by Narayan Puri.It stars Saroj Khanal Gauri Malla Beena Basnet and Karishma Manandhar in lead roles. '''
Choice 1: artist. Choice 2: film.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Tapasya is a 1992 Nepalese movie produced by Roshana Films. It is directed by Narayan Puri.It stars Saroj Khanal Gauri Malla Beena Basnet and Karishma Manandhar in lead roles. '''
Choice 1: artist. Choice 2: film.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following example: '''  Geum rivale the water avens is a flowering plant of the family Rosaceae. Other names for the plant are nodding avens drooping avens cure-all water flower and indian chocolate. It is native to much of Europe with the exception of Mediterranean areas as well as some parts of Central Asia and North America. In North America it is known as purple avens. '''
Choice 1: company. Choice 2: plant.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Geum rivale the water avens is a flowering plant of the family Rosaceae. Other names for the plant are nodding avens drooping avens cure-all water flower and indian chocolate. It is native to much of Europe with the exception of Mediterranean areas as well as some parts of Central Asia and North America. In North America it is known as purple avens. '''
Choice 1: company. Choice 2: plant.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Geum rivale the water avens is a flowering plant of the family Rosaceae. Other names for the plant are nodding avens drooping avens cure-all water flower and indian chocolate. It is native to much of Europe with the exception of Mediterranean areas as well as some parts of Central Asia and North America. In North America it is known as purple avens. '''
Choice 1: company. Choice 2: plant.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following example: '''  Raleigh Charter High School is a free independent public school chartered by the North Carolina State Board of Education. It was founded in 1998 by parents of eighth graders at Magellan Charter School.From its inception through the 2010-2011 school year Raleigh Charter occupied the historic Pilot Mill behind Peace College in downtown Raleigh. Over the summer of 2011 the school moved to the former Methodist Building on Glenwood Avenue. '''
Choice 1: educational institution. Choice 2: plant.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Raleigh Charter High School is a free independent public school chartered by the North Carolina State Board of Education. It was founded in 1998 by parents of eighth graders at Magellan Charter School.From its inception through the 2010-2011 school year Raleigh Charter occupied the historic Pilot Mill behind Peace College in downtown Raleigh. Over the summer of 2011 the school moved to the former Methodist Building on Glenwood Avenue. '''
Choice 1: educational institution. Choice 2: plant.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Raleigh Charter High School is a free independent public school chartered by the North Carolina State Board of Education. It was founded in 1998 by parents of eighth graders at Magellan Charter School.From its inception through the 2010-2011 school year Raleigh Charter occupied the historic Pilot Mill behind Peace College in downtown Raleigh. Over the summer of 2011 the school moved to the former Methodist Building on Glenwood Avenue. '''
Choice 1: educational institution. Choice 2: plant.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following example: '''  Boundary Channel is a channel off the Potomac River in Washington D.C. The channel begins at the northwestern tip of Columbia Island extends southward between Columbia Island and the Virginia shoreline. It curves around the southern tip of Columbia Island before heading northeast to exit into the Potomac River. At the southwestern tip of Columbia Island the Boundary Channel widens into the manmade Pentagon Lagoon. '''
Choice 1: village. Choice 2: natural place.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Boundary Channel is a channel off the Potomac River in Washington D.C. The channel begins at the northwestern tip of Columbia Island extends southward between Columbia Island and the Virginia shoreline. It curves around the southern tip of Columbia Island before heading northeast to exit into the Potomac River. At the southwestern tip of Columbia Island the Boundary Channel widens into the manmade Pentagon Lagoon. '''
Choice 1: village. Choice 2: natural place.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Boundary Channel is a channel off the Potomac River in Washington D.C. The channel begins at the northwestern tip of Columbia Island extends southward between Columbia Island and the Virginia shoreline. It curves around the southern tip of Columbia Island before heading northeast to exit into the Potomac River. At the southwestern tip of Columbia Island the Boundary Channel widens into the manmade Pentagon Lagoon. '''
Choice 1: village. Choice 2: natural place.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following example: '''  Bogdan Nicolae (born 26 April 1976 Bucureşti) is a former Romanian footballer. He last played for Juventus Bucureşti '''
Choice 1: mean of transportation. Choice 2: athlete.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Bogdan Nicolae (born 26 April 1976 Bucureşti) is a former Romanian footballer. He last played for Juventus Bucureşti '''
Choice 1: mean of transportation. Choice 2: athlete.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Bogdan Nicolae (born 26 April 1976 Bucureşti) is a former Romanian footballer. He last played for Juventus Bucureşti '''
Choice 1: mean of transportation. Choice 2: athlete.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Consider the following example: '''  Eshkat Deraz (Persian: اشكت دراز‎ also Romanized as Eshkat Derāz) is a village in Godeh Rural District in the Central District of Bastak County Hormozgan Province Iran. At the 2006 census its existence was noted but its population was not reported. '''
Choice 1: village. Choice 2: company.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Eshkat Deraz (Persian: اشكت دراز‎ also Romanized as Eshkat Derāz) is a village in Godeh Rural District in the Central District of Bastak County Hormozgan Province Iran. At the 2006 census its existence was noted but its population was not reported. '''
Choice 1: village. Choice 2: company.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Eshkat Deraz (Persian: اشكت دراز‎ also Romanized as Eshkat Derāz) is a village in Godeh Rural District in the Central District of Bastak County Hormozgan Province Iran. At the 2006 census its existence was noted but its population was not reported. '''
Choice 1: village. Choice 2: company.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following example: '''  The Valea lui Bibaţ River is a tributary of the Ampoi River in Romania. '''
Choice 1: natural place. Choice 2: mean of transportation.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  The Valea lui Bibaţ River is a tributary of the Ampoi River in Romania. '''
Choice 1: natural place. Choice 2: mean of transportation.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  The Valea lui Bibaţ River is a tributary of the Ampoi River in Romania. '''
Choice 1: natural place. Choice 2: mean of transportation.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following example: '''  The 'Haden' mango (or 'Hayden') is a named mango cultivar that became one of the most widely cultivated in the world after it was introduced in the early 20th century through south Florida. It would ultimately become the parent of many other mango cultivars later developed in Florida. '''
Choice 1: plant. Choice 2: natural place.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  The 'Haden' mango (or 'Hayden') is a named mango cultivar that became one of the most widely cultivated in the world after it was introduced in the early 20th century through south Florida. It would ultimately become the parent of many other mango cultivars later developed in Florida. '''
Choice 1: plant. Choice 2: natural place.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  The 'Haden' mango (or 'Hayden') is a named mango cultivar that became one of the most widely cultivated in the world after it was introduced in the early 20th century through south Florida. It would ultimately become the parent of many other mango cultivars later developed in Florida. '''
Choice 1: plant. Choice 2: natural place.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following example: '''  Jim Pollock (born July 8 1930) is a retired politician in Ontario Canada. He was a Progressive Conservative member of the Legislative Assembly of Ontario from 1981 to 1990. '''
Choice 1: office holder. Choice 2: album.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Jim Pollock (born July 8 1930) is a retired politician in Ontario Canada. He was a Progressive Conservative member of the Legislative Assembly of Ontario from 1981 to 1990. '''
Choice 1: office holder. Choice 2: album.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Jim Pollock (born July 8 1930) is a retired politician in Ontario Canada. He was a Progressive Conservative member of the Legislative Assembly of Ontario from 1981 to 1990. '''
Choice 1: office holder. Choice 2: album.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Consider the following example: '''  Ableton AG is a Berlin-based music software company that produces and distributes the production and performance program Ableton Live and the more advanced Ableton Suite as well as a collection of related instruments and sample libraries. '''
Choice 1: album. Choice 2: company.Between choice 1 and choice 2, what is the topic of this example?","Consider the following example: '''  Ableton AG is a Berlin-based music software company that produces and distributes the production and performance program Ableton Live and the more advanced Ableton Suite as well as a collection of related instruments and sample libraries. '''
Choice 1: album. Choice 2: company.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 1","Consider the following example: '''  Ableton AG is a Berlin-based music software company that produces and distributes the production and performance program Ableton Live and the more advanced Ableton Suite as well as a collection of related instruments and sample libraries. '''
Choice 1: album. Choice 2: company.Between choice 1 and choice 2, what is the topic of this example?</s></s>choice 2",1,"['choice 1', 'choice 2']"
