question,sentence,label,idx
On where are most tourist attractions focused in Victoria?,"Most of these events are centred on Melbourne, but others occur in regional cities, such as the V8 Supercars and Australian Motorcycle Grand Prix at Phillip Island, the Grand Annual Steeplechase at Warrnambool and the Australian International Airshow at Geelong and numerous local festivals such as the popular Port Fairy Folk Festival, Queenscliff Music Festival, Bells Beach SurfClassic and the Bright Autumn Festival.",0,2312
What would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?,"Indeed, this can be done by giving the same input to both inputs of the multiplication algorithm.",0,3632
How are incomes distributed in Sweden?,"This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world.",1,3936
What is expected with the continuous input of sediment into the Dornbirner Ach?,It is expected that the continuous input of sediment into the lake will silt up the lake.,0,4152
What are some of the accepted general principles of European Union law?,"Accepted general principles of European Union Law include fundamental rights (see human rights), proportionality, legal certainty, equality before the law and subsidiarity.",0,3064
Who was an important figure in the twentieth-century Islamic revival in India?,"Sayyid Abul Ala Maududi was an important early twentieth-century figure in the Islamic revival in India, and then after independence from Britain, in Pakistan.",0,2642
What does chlorophyll use light energy to do?,I contain light-harvesting complexes with chlorophyll and carotenoids that absorb light energy and use it to energize electrons.,0,754
What resolution were the cameras increased to for the game?,"CBS introduced new features during the telecast, including pylon cameras and microphones along with EyeVision 360—an array of 36 cameras along the upper deck that can be used to provide a 360-degree view of plays and ""bullet time"" effects.",1,2709
What did Luther feel he made of Christ?,"Johann von Staupitz, his superior, pointed Luther's mind away from continual reflection upon his sins toward the merits of Christ.",1,5008
What did the BankAmericard allow customers do to that they couldn't do with previous financial instruments?,"In 1976, BankAmericard was renamed and spun off into a separate company known today as Visa Inc.",1,277
Disney-ABC Television group implemented restrictions for Hulu and WATCH ABC that made episodes available only after how many days after initial broadcast?,"The most recent episodes of the network's shows are usually made available on WATCH ABC, Hulu and ABC on Demand the day after their original broadcast.",1,4043
"What has the avoidance of men to become teachers caused, in some areas?",This has in some jurisdictions reportedly led to a shortage of male teachers.,0,3294
How much time was left in the game when Denver took the score to 24-10?,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.",1,96
