premise,choice1,choice2,question,idx,label
The photo albums collected dust in the attic.,They remained untouched for years.,The family reminisced over the photos.,cause,239,0
The man gained weight.,He got his suit altered.,He got his shoes shined.,effect,252,0
The woman deleted the email.,The sender tried to solicit money from her.,The sender requested a response from her.,cause,210,0
The mother needed help looking after her children.,She sent the children to daycare.,She gave up custody of the children.,effect,380,0
The woman spotted her friend from across the room.,The woman waved.,The woman escaped.,cause,379,0
The woman became famous.,Photographers followed her.,Her family avoided her.,effect,93,0
The secretary put the caller on hold.,The caller's phone lost reception.,The caller waited on the line.,effect,30,1
The tenants were evicted from the apartment.,They neglected to pay their rent.,They got along with their landlord.,cause,206,0
The woman lavished her friend with flattery.,She wanted to ask her friend for a favor.,She was irritated with her friend's whining.,cause,56,0
The girl desired her parent's approval.,She ran away from home.,She obeyed her parent's rules.,effect,388,1
The screen on the laptop went black.,The laptop's warranty expired.,The laptop's battery died.,cause,297,1
My daughter suffered an allergy attack.,I encouraged her to take deep breaths.,I took her to the emergency room.,effect,285,1
I stood on one foot.,My balance wavered.,I kneeled down.,effect,165,0
My jaw dropped open.,I was unhappy.,I was shocked.,cause,225,1
The woman gave the man her phone number.,She was attracted to him.,She was repulsed by him.,cause,24,0
The administrator cleared her throat.,The meeting was postponed.,The meeting commenced.,effect,318,1
The woman was mistaken for her sister.,The woman was close with her sister.,The woman looked like her sister.,cause,277,1
The teacher caught the student chewing gum.,The gum stuck to the student's shoe.,The student spit out the gum.,effect,171,1
The detective flashed his badge to the police officer.,The police officer confiscated the detective's badge.,The police officer let the detective enter the crime scene.,effect,219,1
The man fell unconscious.,The assailant struck the man in the head.,The assailant took the man's wallet.,cause,262,0
The driver slammed on his brakes.,A deer appeared on the road.,The car radio shut off.,cause,61,0
The trip took a long time., The driver talked the whole way.,The driver made a wrong turn.,cause,128,1
The mother scolded her daughter.,Her daughter burped at the kitchen table.,Her daughter set the kitchen table.,cause,393,0
The woman got away with the crime.,Her accomplice was apprehended.,She destroyed the evidence.,cause,168,1
The children ran through the sprinkler.,They ate popsicles.,They were hot.,cause,319,1
The man drank water with his meal.,His meal was cold.,His meal was spicy.,cause,352,1
I excused myself from the group.,I turned off my phone.,My phone rang.,cause,394,1
The skunk sprayed the dog.,The dog emitted a foul smell.,The skunk roamed the woods.,effect,136,0
The farmland needed irrigation.,A canal was constructed.,A flood occurred.,effect,22,0
The woman ran her finger under cold water.,She burned her finger on the toaster.,She put a diamond ring on her finger.,cause,19,0
The man closed the book.,He finished reading it.,It provoked him to think.,cause,88,0
The patient underwent the risky medical procedure.,The procedure was costly.,Specialists recommended the procedure.,cause,360,1
The parents recognized their daughter's creativity.,They taught her how to ride a bike.,They encouraged her to become an artist.,effect,152,1
I planted the seeds in the soil.,I watered the soil.,The seeds sprouted.,effect,182,1
My stomach growled.,I forgot to eat breakfast.,I was full from breakfast.,cause,61,0
The police officer pulled over the celebrity.,The celebrity offered the officer a bribe.,The celebrity sued the police officer.,effect,260,0
The couple was happy to see each other.,They kissed.,They rested.,effect,69,0
The student was in a rush to get to school on time.,He left his assignment at home.,He brought his lunch to school.,effect,43,0
The lock opened.,I turned the key in the lock.,I made a duplicate of the key.,cause,62,0
The journalist wrote a biography about the humanitarian's life.,The humanitarian was difficult for the journalist to interview.,The journalist was intrigued by the humanitarian's work.,cause,44,1
The man's watch was broken.,He waited at the bus stop.,He asked a stranger for the time.,effect,398,1
The window was opaque.,The glass was stained.,The blinds were open.,cause,92,0
The climbers reached the peak of the mountain.,They encountered an avalanche.,They congratulated each other.,effect,212,1
The glasses on the table spilled.,The child drew on the table.,The child yanked the tablecloth.,cause,368,1
I wrote a thank-you note to my grandmother.,She became forgetful.,She sent me a gift.,cause,138,1
The woman banished the children from her property.,The children hit a ball into her yard.,The children trampled through her garden.,cause,16,1
The horse bucked.,A fly bit the horse.,The rider stroked the horse.,cause,81,0
The player caught the ball.,Her teammate threw it to her.,Her opponent tried to intercept it.,cause,14,0
The man defied the authorities of the church.,He donated money to the church.,He was excommunicated from the church.,effect,45,1
I decided to stay home for the night.,The forecast called for storms.,My friends urged me to go out.,cause,6,0
A fistfight broke out in the hall of the school.,The principal suspended the students involved.,The principal called off classes for the day.,effect,238,0
The girl had a phobia of dogs.,She rescued an abandoned dog.,She was bitten by a dog.,cause,375,1
I doubted the salesman's pitch.,I turned his offer down.,He persuaded me to buy the product.,effect,5,0
The chair squeaked.,The man carried the chair to his office.,The man scooted the chair closer to his desk.,cause,174,1
The man revealed personal information to the therapist.,He trusted the therapist.,He disagreed with the therapist.,cause,261,0
The man fainted.,He took a nap.,He ran a marathon.,cause,58,1
The girl shared her lunch with her friend.,Her friend forgot to bring his lunch.,Her friend sat next to her at lunch.,cause,341,0
The dog barked.,The cat lounged on the couch.,A knock sounded at the door.,cause,67,1
My car was towed.,I parked illegally.,I jumped the battery.,cause,167,0
The doctors amputated the patient's leg.,It was badly bruised.,It was severely infected.,cause,314,1
A burglar broke into the house.,The homeowners were asleep.,The security alarm went off.,effect,139,1
The boy murmured his reply to his mother.,His mother told him to whisper.,His mother told him to speak up.,effect,195,1
The woman contacted the real estate agent.,The woman planned to buy a condo.,The woman needed to clean her house.,cause,88,0
The customer thought the souvenir was overpriced.,The vender sold it to him.,He bargained with the vendor.,effect,321,1
The driver turned on the car's headlights.,He heard thunder.,The sun went down.,cause,27,1
The bureau drawers were cluttered.,I threw away unnecessary contents.,I locked the drawers shut.,effect,191,0
The woman stayed away from public places.,She was contagious.,She was intoxicated.,cause,353,0
The security guard tackled the man.,The man reached into his pocket.,The man displayed a weapon.,cause,142,1
I slipped on the floor.,The tile was wet.,The tile was cracked.,cause,93,0
The boy was afraid to go to bed.,He turned on his nightlight.,He watched a horror movie.,cause,282,1
The host of the trivia show called on the contestant for an answer.,The contestant was in the lead.,The contestant rang the buzzer.,cause,281,1
The girl found a bug in her cereal.,She poured milk in the bowl.,She lost her appetite.,effect,1,1
The man's clothes fit loosely.,He bought them on sale.,He lost weight.,cause,73,1
The boy mimicked his older brother.,The boy looked up to his older brother.,The boy wrestled with his older brother.,cause,387,0
My computer crashed.,I installed new speakers.,I lost all my data.,effect,12,1
The driver pulled over to the side of the road.,He went through an intersection.,He noticed a stranded vehicle.,cause,148,1
The parents left their children with a babysitter.,Their youngest child started attending preschool.,They made plans to celebrate their anniversary.,cause,127,1
The woman and her boyfriend got into a fight.,They stopped seeing each other.,They planned a vacation together.,effect,273,0
