null,0,1,label,selection
"Consider the passage:
Most of these events are centred on Melbourne, but others occur in regional cities, such as the V8 Supercars and Australian Motorcycle Grand Prix at Phillip Island, the Grand Annual Steeplechase at Warrnambool and the Australian International Airshow at Geelong and numerous local festivals such as the popular Port Fairy Folk Festival, Queenscliff Music Festival, Bells Beach SurfClassic and the Bright Autumn Festival.
and the question:
On where are most tourist attractions focused in Victoria?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Most of these events are centred on Melbourne, but others occur in regional cities, such as the V8 Supercars and Australian Motorcycle Grand Prix at Phillip Island, the Grand Annual Steeplechase at Warrnambool and the Australian International Airshow at Geelong and numerous local festivals such as the popular Port Fairy Folk Festival, Queenscliff Music Festival, Bells Beach SurfClassic and the Bright Autumn Festival.
and the question:
On where are most tourist attractions focused in Victoria?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Most of these events are centred on Melbourne, but others occur in regional cities, such as the V8 Supercars and Australian Motorcycle Grand Prix at Phillip Island, the Grand Annual Steeplechase at Warrnambool and the Australian International Airshow at Geelong and numerous local festivals such as the popular Port Fairy Folk Festival, Queenscliff Music Festival, Bells Beach SurfClassic and the Bright Autumn Festival.
and the question:
On where are most tourist attractions focused in Victoria?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",0,"['yes', 'no']"
"Consider the passage:
Indeed, this can be done by giving the same input to both inputs of the multiplication algorithm.
and the question:
What would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Indeed, this can be done by giving the same input to both inputs of the multiplication algorithm.
and the question:
What would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Indeed, this can be done by giving the same input to both inputs of the multiplication algorithm.
and the question:
What would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",0,"['yes', 'no']"
"Consider the passage:
This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world.
and the question:
How are incomes distributed in Sweden?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world.
and the question:
How are incomes distributed in Sweden?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
This pattern of higher incomes-longer lives still holds among poorer countries, where life expectancy increases rapidly as per capita income increases, but in recent decades it has slowed down among middle income countries and plateaued among the richest thirty or so countries in the world.
and the question:
How are incomes distributed in Sweden?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
It is expected that the continuous input of sediment into the lake will silt up the lake.
and the question:
What is expected with the continuous input of sediment into the Dornbirner Ach?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
It is expected that the continuous input of sediment into the lake will silt up the lake.
and the question:
What is expected with the continuous input of sediment into the Dornbirner Ach?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
It is expected that the continuous input of sediment into the lake will silt up the lake.
and the question:
What is expected with the continuous input of sediment into the Dornbirner Ach?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",0,"['yes', 'no']"
"Consider the passage:
Accepted general principles of European Union Law include fundamental rights (see human rights), proportionality, legal certainty, equality before the law and subsidiarity.
and the question:
What are some of the accepted general principles of European Union law?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Accepted general principles of European Union Law include fundamental rights (see human rights), proportionality, legal certainty, equality before the law and subsidiarity.
and the question:
What are some of the accepted general principles of European Union law?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Accepted general principles of European Union Law include fundamental rights (see human rights), proportionality, legal certainty, equality before the law and subsidiarity.
and the question:
What are some of the accepted general principles of European Union law?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",0,"['yes', 'no']"
"Consider the passage:
Sayyid Abul Ala Maududi was an important early twentieth-century figure in the Islamic revival in India, and then after independence from Britain, in Pakistan.
and the question:
Who was an important figure in the twentieth-century Islamic revival in India?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Sayyid Abul Ala Maududi was an important early twentieth-century figure in the Islamic revival in India, and then after independence from Britain, in Pakistan.
and the question:
Who was an important figure in the twentieth-century Islamic revival in India?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Sayyid Abul Ala Maududi was an important early twentieth-century figure in the Islamic revival in India, and then after independence from Britain, in Pakistan.
and the question:
Who was an important figure in the twentieth-century Islamic revival in India?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",0,"['yes', 'no']"
"Consider the passage:
I contain light-harvesting complexes with chlorophyll and carotenoids that absorb light energy and use it to energize electrons.
and the question:
What does chlorophyll use light energy to do?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
I contain light-harvesting complexes with chlorophyll and carotenoids that absorb light energy and use it to energize electrons.
and the question:
What does chlorophyll use light energy to do?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
I contain light-harvesting complexes with chlorophyll and carotenoids that absorb light energy and use it to energize electrons.
and the question:
What does chlorophyll use light energy to do?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",0,"['yes', 'no']"
"Consider the passage:
CBS introduced new features during the telecast, including pylon cameras and microphones along with EyeVision 360—an array of 36 cameras along the upper deck that can be used to provide a 360-degree view of plays and ""bullet time"" effects.
and the question:
What resolution were the cameras increased to for the game?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
CBS introduced new features during the telecast, including pylon cameras and microphones along with EyeVision 360—an array of 36 cameras along the upper deck that can be used to provide a 360-degree view of plays and ""bullet time"" effects.
and the question:
What resolution were the cameras increased to for the game?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
CBS introduced new features during the telecast, including pylon cameras and microphones along with EyeVision 360—an array of 36 cameras along the upper deck that can be used to provide a 360-degree view of plays and ""bullet time"" effects.
and the question:
What resolution were the cameras increased to for the game?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
Johann von Staupitz, his superior, pointed Luther's mind away from continual reflection upon his sins toward the merits of Christ.
and the question:
What did Luther feel he made of Christ?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Johann von Staupitz, his superior, pointed Luther's mind away from continual reflection upon his sins toward the merits of Christ.
and the question:
What did Luther feel he made of Christ?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Johann von Staupitz, his superior, pointed Luther's mind away from continual reflection upon his sins toward the merits of Christ.
and the question:
What did Luther feel he made of Christ?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
In 1976, BankAmericard was renamed and spun off into a separate company known today as Visa Inc.
and the question:
What did the BankAmericard allow customers do to that they couldn't do with previous financial instruments?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
In 1976, BankAmericard was renamed and spun off into a separate company known today as Visa Inc.
and the question:
What did the BankAmericard allow customers do to that they couldn't do with previous financial instruments?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
In 1976, BankAmericard was renamed and spun off into a separate company known today as Visa Inc.
and the question:
What did the BankAmericard allow customers do to that they couldn't do with previous financial instruments?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
The most recent episodes of the network's shows are usually made available on WATCH ABC, Hulu and ABC on Demand the day after their original broadcast.
and the question:
Disney-ABC Television group implemented restrictions for Hulu and WATCH ABC that made episodes available only after how many days after initial broadcast?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
The most recent episodes of the network's shows are usually made available on WATCH ABC, Hulu and ABC on Demand the day after their original broadcast.
and the question:
Disney-ABC Television group implemented restrictions for Hulu and WATCH ABC that made episodes available only after how many days after initial broadcast?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
The most recent episodes of the network's shows are usually made available on WATCH ABC, Hulu and ABC on Demand the day after their original broadcast.
and the question:
Disney-ABC Television group implemented restrictions for Hulu and WATCH ABC that made episodes available only after how many days after initial broadcast?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
This has in some jurisdictions reportedly led to a shortage of male teachers.
and the question:
What has the avoidance of men to become teachers caused, in some areas?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
This has in some jurisdictions reportedly led to a shortage of male teachers.
and the question:
What has the avoidance of men to become teachers caused, in some areas?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
This has in some jurisdictions reportedly led to a shortage of male teachers.
and the question:
What has the avoidance of men to become teachers caused, in some areas?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",0,"['yes', 'no']"
"Consider the passage:
With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.
and the question:
How much time was left in the game when Denver took the score to 24-10?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.
and the question:
How much time was left in the game when Denver took the score to 24-10?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9.
and the question:
How much time was left in the game when Denver took the score to 24-10?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
Webb jumped in and defended von Braun, until Kennedy ended the squabble by stating that the matter was ""still subject to final review"".
and the question:
What did Wiesner shout out in front of the press during a presentation by von Braun?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Webb jumped in and defended von Braun, until Kennedy ended the squabble by stating that the matter was ""still subject to final review"".
and the question:
What did Wiesner shout out in front of the press during a presentation by von Braun?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Webb jumped in and defended von Braun, until Kennedy ended the squabble by stating that the matter was ""still subject to final review"".
and the question:
What did Wiesner shout out in front of the press during a presentation by von Braun?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
High tuition, schools claim, is used to pay higher salaries for the best teachers and also used to provide enriched learning environments, including a low student to teacher ratio, small class sizes and services, such as libraries, science laboratories and computers.
and the question:
Along with location, endowment and the willingness of parents to pay, what factor influences private school tuition?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
High tuition, schools claim, is used to pay higher salaries for the best teachers and also used to provide enriched learning environments, including a low student to teacher ratio, small class sizes and services, such as libraries, science laboratories and computers.
and the question:
Along with location, endowment and the willingness of parents to pay, what factor influences private school tuition?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
High tuition, schools claim, is used to pay higher salaries for the best teachers and also used to provide enriched learning environments, including a low student to teacher ratio, small class sizes and services, such as libraries, science laboratories and computers.
and the question:
Along with location, endowment and the willingness of parents to pay, what factor influences private school tuition?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
Kennedy's science advisor Jerome Wiesner, who had expressed his opposition to manned spaceflight to Kennedy before the President took office, and had opposed the decision to land men on the Moon, hired Golovin, who had left NASA, to chair his own ""Space Vehicle Panel"", ostensibly to monitor, but actually to second-guess NASA's decisions on the Saturn V launch vehicle and LOR by forcing Shea, Seamans, and even Webb to defend themselves, delaying its formal announcement to the press on July 11, 1962, and forcing Webb to still hedge the decision as ""tentative"".
and the question:
Who did Wiesner hire to monitor and second guess NASA's decisions?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Kennedy's science advisor Jerome Wiesner, who had expressed his opposition to manned spaceflight to Kennedy before the President took office, and had opposed the decision to land men on the Moon, hired Golovin, who had left NASA, to chair his own ""Space Vehicle Panel"", ostensibly to monitor, but actually to second-guess NASA's decisions on the Saturn V launch vehicle and LOR by forcing Shea, Seamans, and even Webb to defend themselves, delaying its formal announcement to the press on July 11, 1962, and forcing Webb to still hedge the decision as ""tentative"".
and the question:
Who did Wiesner hire to monitor and second guess NASA's decisions?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Kennedy's science advisor Jerome Wiesner, who had expressed his opposition to manned spaceflight to Kennedy before the President took office, and had opposed the decision to land men on the Moon, hired Golovin, who had left NASA, to chair his own ""Space Vehicle Panel"", ostensibly to monitor, but actually to second-guess NASA's decisions on the Saturn V launch vehicle and LOR by forcing Shea, Seamans, and even Webb to defend themselves, delaying its formal announcement to the press on July 11, 1962, and forcing Webb to still hedge the decision as ""tentative"".
and the question:
Who did Wiesner hire to monitor and second guess NASA's decisions?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",0,"['yes', 'no']"
"Consider the passage:
The President is both the head of state and head of government, and of a multi-party system.
and the question:
What titles are the President given?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
The President is both the head of state and head of government, and of a multi-party system.
and the question:
What titles are the President given?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
The President is both the head of state and head of government, and of a multi-party system.
and the question:
What titles are the President given?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",0,"['yes', 'no']"
"Consider the passage:
Living in the 10th century, he wrote The foundations of the true properties of Remedies, amongst others describing arsenious oxide, and being acquainted with silicic acid.
and the question:
Who was influential in promoting the use of chemical compounds as medicines?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Living in the 10th century, he wrote The foundations of the true properties of Remedies, amongst others describing arsenious oxide, and being acquainted with silicic acid.
and the question:
Who was influential in promoting the use of chemical compounds as medicines?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Living in the 10th century, he wrote The foundations of the true properties of Remedies, amongst others describing arsenious oxide, and being acquainted with silicic acid.
and the question:
Who was influential in promoting the use of chemical compounds as medicines?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
Other notable people born in or associated with Newcastle include: engineer and industrialist Lord Armstrong, engineer and father of the modern steam railways George Stephenson, his son, also an engineer, Robert Stephenson, engineer and inventor of the steam turbine Sir Charles Parsons, inventor of the incandescent light bulb Sir Joseph Swan, modernist poet Basil Bunting, and Lord Chief Justice Peter Taylor.
and the question:
What did Sir Charles Parsons invent?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Other notable people born in or associated with Newcastle include: engineer and industrialist Lord Armstrong, engineer and father of the modern steam railways George Stephenson, his son, also an engineer, Robert Stephenson, engineer and inventor of the steam turbine Sir Charles Parsons, inventor of the incandescent light bulb Sir Joseph Swan, modernist poet Basil Bunting, and Lord Chief Justice Peter Taylor.
and the question:
What did Sir Charles Parsons invent?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Other notable people born in or associated with Newcastle include: engineer and industrialist Lord Armstrong, engineer and father of the modern steam railways George Stephenson, his son, also an engineer, Robert Stephenson, engineer and inventor of the steam turbine Sir Charles Parsons, inventor of the incandescent light bulb Sir Joseph Swan, modernist poet Basil Bunting, and Lord Chief Justice Peter Taylor.
and the question:
What did Sir Charles Parsons invent?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",0,"['yes', 'no']"
"Consider the passage:
In 1993, the FCC repealed the Financial Interest and Syndication Rules, once again allowing networks to hold interests in television production studios.
and the question:
What French animation studio did ABC purchase in 1993?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
In 1993, the FCC repealed the Financial Interest and Syndication Rules, once again allowing networks to hold interests in television production studios.
and the question:
What French animation studio did ABC purchase in 1993?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
In 1993, the FCC repealed the Financial Interest and Syndication Rules, once again allowing networks to hold interests in television production studios.
and the question:
What French animation studio did ABC purchase in 1993?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
Temüjin was to live there in service to Dai Setsen, the head of the new household, until he reached the marriageable age of 12.
and the question:
Which tribe did Temüjin move in with at nine years of age?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Temüjin was to live there in service to Dai Setsen, the head of the new household, until he reached the marriageable age of 12.
and the question:
Which tribe did Temüjin move in with at nine years of age?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Temüjin was to live there in service to Dai Setsen, the head of the new household, until he reached the marriageable age of 12.
and the question:
Which tribe did Temüjin move in with at nine years of age?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
"Consider the passage:
Nintendo and The Pokémon Company also made their Super Bowl debut, promoting the 20th anniversary of the Pokémon video game and media franchise.
and the question:
What was the Doritos customer Super Bowl ad campaign called?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no","Consider the passage:
Nintendo and The Pokémon Company also made their Super Bowl debut, promoting the 20th anniversary of the Pokémon video game and media franchise.
and the question:
What was the Doritos customer Super Bowl ad campaign called?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>yes","Consider the passage:
Nintendo and The Pokémon Company also made their Super Bowl debut, promoting the 20th anniversary of the Pokémon video game and media franchise.
and the question:
What was the Doritos customer Super Bowl ad campaign called?
Is it possible to answer this question based only on the information in the passage? A) yes or B) no</s></s>no",1,"['yes', 'no']"
