null,0,1,label,selection
"After Steep Drop, Price of Oil Rises The freefall in oil prices ended Monday on a spate of ominous developments, including a deadly attack on a US consulate in Saudi Arabia and reports that OPEC might cut production this week.
Which is the topic of this example, choice 1: business, or choice 2: sports?","After Steep Drop, Price of Oil Rises The freefall in oil prices ended Monday on a spate of ominous developments, including a deadly attack on a US consulate in Saudi Arabia and reports that OPEC might cut production this week.
Which is the topic of this example, choice 1: business, or choice 2: sports?</s></s>choice 1","After Steep Drop, Price of Oil Rises The freefall in oil prices ended Monday on a spate of ominous developments, including a deadly attack on a US consulate in Saudi Arabia and reports that OPEC might cut production this week.
Which is the topic of this example, choice 1: business, or choice 2: sports?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Opel workers abandon wildcat strikes BOCHUM - Workers at the Opel carmaking plant in the city of Bochum voted overwhelmingly Wednesday to end their nearly week-long wildcat strike and were to return almost immediately to work, officials announced.
Which is the topic of this example, choice 1: technology, or choice 2: business?","Opel workers abandon wildcat strikes BOCHUM - Workers at the Opel carmaking plant in the city of Bochum voted overwhelmingly Wednesday to end their nearly week-long wildcat strike and were to return almost immediately to work, officials announced.
Which is the topic of this example, choice 1: technology, or choice 2: business?</s></s>choice 1","Opel workers abandon wildcat strikes BOCHUM - Workers at the Opel carmaking plant in the city of Bochum voted overwhelmingly Wednesday to end their nearly week-long wildcat strike and were to return almost immediately to work, officials announced.
Which is the topic of this example, choice 1: technology, or choice 2: business?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"India hospital injections fears India's health minister tells parliament that nearly 70 of injections at government hospitals are unsafe.
Which is the topic of this example, choice 1: sports, or choice 2: politics?","India hospital injections fears India's health minister tells parliament that nearly 70 of injections at government hospitals are unsafe.
Which is the topic of this example, choice 1: sports, or choice 2: politics?</s></s>choice 1","India hospital injections fears India's health minister tells parliament that nearly 70 of injections at government hospitals are unsafe.
Which is the topic of this example, choice 1: sports, or choice 2: politics?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Paul Tellier leaving immediately as chief executive of Bombardier MONTREAL (CP) - Paul Tellier has disembarked as president and chief executive officer of Bombardier Inc. The bombshell announcement Monday morning came as the Montreal-headquartered multinational transportation 
Which is the topic of this example, choice 1: business, or choice 2: sports?","Paul Tellier leaving immediately as chief executive of Bombardier MONTREAL (CP) - Paul Tellier has disembarked as president and chief executive officer of Bombardier Inc. The bombshell announcement Monday morning came as the Montreal-headquartered multinational transportation 
Which is the topic of this example, choice 1: business, or choice 2: sports?</s></s>choice 1","Paul Tellier leaving immediately as chief executive of Bombardier MONTREAL (CP) - Paul Tellier has disembarked as president and chief executive officer of Bombardier Inc. The bombshell announcement Monday morning came as the Montreal-headquartered multinational transportation 
Which is the topic of this example, choice 1: business, or choice 2: sports?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"World's oldest man dies aged 113 The world's oldest man, who gave up  driving at 108 because ""slow drivers annoyed him"", dies at 113.
Which is the topic of this example, choice 1: business, or choice 2: politics?","World's oldest man dies aged 113 The world's oldest man, who gave up  driving at 108 because ""slow drivers annoyed him"", dies at 113.
Which is the topic of this example, choice 1: business, or choice 2: politics?</s></s>choice 1","World's oldest man dies aged 113 The world's oldest man, who gave up  driving at 108 because ""slow drivers annoyed him"", dies at 113.
Which is the topic of this example, choice 1: business, or choice 2: politics?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Jobs #39; Apple vs Beatles #39; Apple p2pnet.net News:- It #39;s Apple vs Apple again - that #39;s to say Steve Jobs #39; Apple versus The Beatles #39; Apple. Apple-B claims Apple-J infringes its trade mark and the latter,  quot;is likely to be forced into a multimillion 
Which is the topic of this example, choice 1: sports, or choice 2: technology?","Jobs #39; Apple vs Beatles #39; Apple p2pnet.net News:- It #39;s Apple vs Apple again - that #39;s to say Steve Jobs #39; Apple versus The Beatles #39; Apple. Apple-B claims Apple-J infringes its trade mark and the latter,  quot;is likely to be forced into a multimillion 
Which is the topic of this example, choice 1: sports, or choice 2: technology?</s></s>choice 1","Jobs #39; Apple vs Beatles #39; Apple p2pnet.net News:- It #39;s Apple vs Apple again - that #39;s to say Steve Jobs #39; Apple versus The Beatles #39; Apple. Apple-B claims Apple-J infringes its trade mark and the latter,  quot;is likely to be forced into a multimillion 
Which is the topic of this example, choice 1: sports, or choice 2: technology?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Jury calls WTC attack two events Silverstein had hoped the 11-member jury would determine that the language of the insurance policy treated the attacks as two occurrences.
Which is the topic of this example, choice 1: politics, or choice 2: business?","Jury calls WTC attack two events Silverstein had hoped the 11-member jury would determine that the language of the insurance policy treated the attacks as two occurrences.
Which is the topic of this example, choice 1: politics, or choice 2: business?</s></s>choice 1","Jury calls WTC attack two events Silverstein had hoped the 11-member jury would determine that the language of the insurance policy treated the attacks as two occurrences.
Which is the topic of this example, choice 1: politics, or choice 2: business?</s></s>choice 2",1,"['choice 1', 'choice 2']"
"Titans Release No. 3 QB Jason Gesser (AP) AP - The Tennessee Titans released Jason Gesser, their third quarterback, on Sunday and plan to replace him with a veteran.
Which is the topic of this example, choice 1: sports, or choice 2: business?","Titans Release No. 3 QB Jason Gesser (AP) AP - The Tennessee Titans released Jason Gesser, their third quarterback, on Sunday and plan to replace him with a veteran.
Which is the topic of this example, choice 1: sports, or choice 2: business?</s></s>choice 1","Titans Release No. 3 QB Jason Gesser (AP) AP - The Tennessee Titans released Jason Gesser, their third quarterback, on Sunday and plan to replace him with a veteran.
Which is the topic of this example, choice 1: sports, or choice 2: business?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Geiberger joins father as a winner in Greensboro When it was over, after Brent Geiberger made his final putt, he finally got to talk to his father, Al, about their latest achievement.
Which is the topic of this example, choice 1: sports, or choice 2: politics?","Geiberger joins father as a winner in Greensboro When it was over, after Brent Geiberger made his final putt, he finally got to talk to his father, Al, about their latest achievement.
Which is the topic of this example, choice 1: sports, or choice 2: politics?</s></s>choice 1","Geiberger joins father as a winner in Greensboro When it was over, after Brent Geiberger made his final putt, he finally got to talk to his father, Al, about their latest achievement.
Which is the topic of this example, choice 1: sports, or choice 2: politics?</s></s>choice 2",0,"['choice 1', 'choice 2']"
"Microsoft enters the Internet search market  at last After years of licensing search technology from Yahoo and seeing its Web search market share slowly but steadily decline, Microsoft has finally developed its own search engine and is expected to unveil it later this week.
Which is the topic of this example, choice 1: business, or choice 2: technology?","Microsoft enters the Internet search market  at last After years of licensing search technology from Yahoo and seeing its Web search market share slowly but steadily decline, Microsoft has finally developed its own search engine and is expected to unveil it later this week.
Which is the topic of this example, choice 1: business, or choice 2: technology?</s></s>choice 1","Microsoft enters the Internet search market  at last After years of licensing search technology from Yahoo and seeing its Web search market share slowly but steadily decline, Microsoft has finally developed its own search engine and is expected to unveil it later this week.
Which is the topic of this example, choice 1: business, or choice 2: technology?</s></s>choice 2",1,"['choice 1', 'choice 2']"
