null,0,1,label,selection
"To pour hot fudge over ice cream before serving, pour the hot fudge over ice cream that has been pulled out of the freezer and softened for fifteen minutes, then scooped out of it's container with an ice cream scoop into a bowl.
Does this phrase make sense?","To pour hot fudge over ice cream before serving, pour the hot fudge over ice cream that has been pulled out of the freezer and softened for fifteen minutes, then scooped out of it's container with an ice cream scoop into a bowl.
Does this phrase make sense?</s></s>No","To pour hot fudge over ice cream before serving, pour the hot fudge over ice cream that has been pulled out of the freezer and softened for fifteen minutes, then scooped out of it's container with an ice cream scoop into a bowl.
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"how to measure liquids Bend down to get eye level with standard measuring cups and pour. Stop when the meniscus is at the bottom of the line
Does this phrase make sense?","how to measure liquids Bend down to get eye level with standard measuring cups and pour. Stop when the meniscus is at the bottom of the line
Does this phrase make sense?</s></s>No","how to measure liquids Bend down to get eye level with standard measuring cups and pour. Stop when the meniscus is at the bottom of the line
Does this phrase make sense?</s></s>Yes",1,"['No', 'Yes']"
"Remove hair from hair brush. Cover brush head with saran wrap, use a pen to push down and collect hair.
Does this phrase make sense?","Remove hair from hair brush. Cover brush head with saran wrap, use a pen to push down and collect hair.
Does this phrase make sense?</s></s>No","Remove hair from hair brush. Cover brush head with saran wrap, use a pen to push down and collect hair.
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"To smooth a wooden rod so that you can drill into it, you can Sand the edges of the rod
Does this phrase make sense?","To smooth a wooden rod so that you can drill into it, you can Sand the edges of the rod
Does this phrase make sense?</s></s>No","To smooth a wooden rod so that you can drill into it, you can Sand the edges of the rod
Does this phrase make sense?</s></s>Yes",1,"['No', 'Yes']"
"bath tub can hold a bowling ball easily.
Does this phrase make sense?","bath tub can hold a bowling ball easily.
Does this phrase make sense?</s></s>No","bath tub can hold a bowling ball easily.
Does this phrase make sense?</s></s>Yes",1,"['No', 'Yes']"
"How can I check and see if cupcakes are done? Use a toothpick to poke the center it should come out clean.
Does this phrase make sense?","How can I check and see if cupcakes are done? Use a toothpick to poke the center it should come out clean.
Does this phrase make sense?</s></s>No","How can I check and see if cupcakes are done? Use a toothpick to poke the center it should come out clean.
Does this phrase make sense?</s></s>Yes",1,"['No', 'Yes']"
"how do you open a wrapped present? cut off the wrapping paper.
Does this phrase make sense?","how do you open a wrapped present? cut off the wrapping paper.
Does this phrase make sense?</s></s>No","how do you open a wrapped present? cut off the wrapping paper.
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"slow cooker can melt copper 
Does this phrase make sense?","slow cooker can melt copper 
Does this phrase make sense?</s></s>No","slow cooker can melt copper 
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"shampoo cleans clothes from dirt
Does this phrase make sense?","shampoo cleans clothes from dirt
Does this phrase make sense?</s></s>No","shampoo cleans clothes from dirt
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"To toast a hamburger bun, you can Place it in the freezer for a few minutes
Does this phrase make sense?","To toast a hamburger bun, you can Place it in the freezer for a few minutes
Does this phrase make sense?</s></s>No","To toast a hamburger bun, you can Place it in the freezer for a few minutes
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"Butcher Shop will decimate a full cow into digestible pieces
Does this phrase make sense?","Butcher Shop will decimate a full cow into digestible pieces
Does this phrase make sense?</s></s>No","Butcher Shop will decimate a full cow into digestible pieces
Does this phrase make sense?</s></s>Yes",1,"['No', 'Yes']"
"How do I put a game in an Xbox put the movie into the slot and push in
Does this phrase make sense?","How do I put a game in an Xbox put the movie into the slot and push in
Does this phrase make sense?</s></s>No","How do I put a game in an Xbox put the movie into the slot and push in
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"How to make sure your pet is healthy? Feed the healthy protein, water, medical supplements and take them to the zoo regularly.
Does this phrase make sense?","How to make sure your pet is healthy? Feed the healthy protein, water, medical supplements and take them to the zoo regularly.
Does this phrase make sense?</s></s>No","How to make sure your pet is healthy? Feed the healthy protein, water, medical supplements and take them to the zoo regularly.
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"To become more mindful during activities, keep your eyes closed for better focus and then try to relax and sleep.
Does this phrase make sense?","To become more mindful during activities, keep your eyes closed for better focus and then try to relax and sleep.
Does this phrase make sense?</s></s>No","To become more mindful during activities, keep your eyes closed for better focus and then try to relax and sleep.
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"What tools do you need to make a suncatcher? You need tape, a CD, a printed design, and a VHS tape.
Does this phrase make sense?","What tools do you need to make a suncatcher? You need tape, a CD, a printed design, and a VHS tape.
Does this phrase make sense?</s></s>No","What tools do you need to make a suncatcher? You need tape, a CD, a printed design, and a VHS tape.
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"How to Prepare Colored Pencils to Make Easy Pen Holder To prepare the colored pencils to make your pen holder, you'll want to cut each one to 6.5cm. You can do this quickly by carefully using a mitre saw.
Does this phrase make sense?","How to Prepare Colored Pencils to Make Easy Pen Holder To prepare the colored pencils to make your pen holder, you'll want to cut each one to 6.5cm. You can do this quickly by carefully using a mitre saw.
Does this phrase make sense?</s></s>No","How to Prepare Colored Pencils to Make Easy Pen Holder To prepare the colored pencils to make your pen holder, you'll want to cut each one to 6.5cm. You can do this quickly by carefully using a mitre saw.
Does this phrase make sense?</s></s>Yes",1,"['No', 'Yes']"
"The best nail to use at every crossing of a roofing job The use of any nail available to make the roofing job is advised.
Does this phrase make sense?","The best nail to use at every crossing of a roofing job The use of any nail available to make the roofing job is advised.
Does this phrase make sense?</s></s>No","The best nail to use at every crossing of a roofing job The use of any nail available to make the roofing job is advised.
Does this phrase make sense?</s></s>Yes",0,"['No', 'Yes']"
"how do you stream a movie? watch it over the internet.
Does this phrase make sense?","how do you stream a movie? watch it over the internet.
Does this phrase make sense?</s></s>No","how do you stream a movie? watch it over the internet.
Does this phrase make sense?</s></s>Yes",1,"['No', 'Yes']"
