question,passage,idx,label
is the big dipper the same as ursa major,"Ursa Major -- Ursa Major is primarily known from the asterism of its main seven relatively bright stars comprising the ``Big Dipper'', ``the Wagon'', ``Charles's Wain'' or ``the Plough'' (among others), with its stellar configuration mimicking the shape of the ``Little Dipper''.",1562,0
does arnie die in what eating gilbert grape,"What's Eating Gilbert Grape -- Following Arnie's 18th birthday party, Bonnie climbs the stairs to her bedroom for the first time since her husband's suicide. Arnie later tries to wake her but discovers that she has died. The children, not willing to let their mother become the joke of the town by having her corpse lifted from the house by crane, empty their family home of possessions and set it on fire. A year later, Gilbert describes what happened to his family after his mother's death, as Gilbert and his brother Arnie wait by the side of a road for Becky, who arrives with her grandmother, and picks them up.",1027,0
will there be a season 4 of total bellas,"Total Divas (season 4) -- The series gives viewers an inside look of the lives of WWE Divas from their work within WWE to their personal lives. Behind the scene footage of the Divas is also included. On February 24, 2015, Paige announced Total Divas was renewed for a fourth season, with filming commencing at the end of the month. It was then announced at the end of the season three finale, that the fourth season would premiere on July 7, 2015, moving from Sunday to Tuesday nights. Unlike other WWE programs, most of the performers use their real names instead of their ring names, leading to Cameron, Naomi, Natalya, Jimmy Uso, and Tyson Kidd being referred to as Ariane, Trinity, Nattie, Jon, and TJ respectively.",2725,1
do you need to break in a car,"Break-in (mechanical run-in) -- A new engine is broken in by following specific driving guidelines during the first few hours of its use. The focus of breaking in an engine is on the contact between the piston rings of the engine and the cylinder wall. There is no universal preparation or set of instructions for breaking in an engine. Most importantly, experts disagree on whether it is better to start engines on high or low power to break them in. While there are still consequences to an unsuccessful break-in, they are harder to quantify on modern engines than on older models. In general, people no longer break in the engines of their own vehicles after purchasing a car or motorcycle, because the process is done in production. It is still common, even today, to find that an owner's manual recommends gentle use at first (often specified as the first 500 or 1000 kilometres or miles). But it is usually only normal use without excessive demands that is specified, as opposed to light/limited use. For example, the manual will specify that the car be driven normally, but not in excess of the highway speed limit.",27,0
is elderflower cordial the same as elderflower syrup,"Elderflower cordial -- Elderflower cordial is a soft drink made largely from a refined sugar and water solution and uses the flowers of the European elderberry, (Sambucus nigra L.). Historically the cordial has been popular in North Western Europe where it has a strong Victorian heritage. However, versions of an elderflower cordial recipe can be traced back to Roman times. Nowadays it can be found in almost all of the former Roman Empire territory, predominantly in Central Europe, especially in England, Germany, Austria, Slovenia, Romania, Hungary and Slovakia, where people have acquired a special taste for it and still make it in the traditional way. In some countries the drink can be found as an aromatic syrup, sold as a concentrated squash that is mixed with still or sparkling water. Elderflower pressé is a premixed form of this.",2584,0
will the us ever get high speed rail,"High-speed rail in the United States -- As of 2017, the California High-Speed Rail Authority is working on the California High Speed Rail project and construction is under way on sections traversing the Central Valley. Phase I will be completed in 2029, and Phase II will likely be completed before 2040.",610,1
does every country have their own sign language,"List of sign languages -- There are perhaps three hundred sign languages in use around the world today. The number is not known with any confidence; new sign languages emerge frequently through creolization and de novo (and occasionally through language planning). In some countries, such as Sri Lanka and Tanzania, each school for the deaf may have a separate language, known only to its students and sometimes denied by the school; on the other hand, countries may share sign languages, though sometimes under different names (Croatian and Serbian, Indian and Pakistani). Deaf sign languages also arise outside educational institutions, especially in village communities with high levels of congenital deafness, but there are significant sign languages developed for the hearing as well, such as the speech-taboo languages used in aboriginal Australia. Scholars are doing field surveys to identify the world's sign languages.",3081,0
have we reached the bottom of the mariana trench,"Mariana Trench -- This was followed by the unmanned ROVs Kaikō in 1996 and Nereus in 2009. The first three expeditions directly measured very similar depths of 10,902 to 10,916 m (35,768 to 35,814 ft). The fourth was made by Canadian film director James Cameron in 2012. On 26 March, he reached the bottom of the Mariana Trench in the submersible vessel Deepsea Challenger.",3117,1
has there ever been a american ninja warrior,"American Ninja Warrior -- To date only two competitors, rock-climbers Isaac Caldiero and Geoff Britten, have finished the course and achieved ``Total Victory''. Caldiero is the only competitor to win the cash prize. The series premiered on December 12, 2009 on the now-defunct cable channel G4 and now airs on NBC with encore episodes airing on USA Network and NBCSN.",1414,1
do you have to have a license to have a lemonade stand,"Lemonade stand -- In some areas, lemonade stands are usually in technical violation of several laws, including operation without a business license, lack of adherence to health codes, and sometimes child labor laws.",2151,1
does the moment of inertia depend on the axis of rotation,"Moment of inertia -- Moment of inertia plays the role in rotational kinetics that mass (inertia) plays in linear kinetics - both characterize the resistance of a body to changes in its motion. The moment of inertia depends on how mass is distributed around an axis of rotation, and will vary depending on the chosen axis. For a point-like mass, the moment of inertia about some axis is given by m r 2 (\displaystyle mr^(2)) , where r (\displaystyle r) is the distance of the point from the axis, and m (\displaystyle m) is the mass. For an extended rigid body, the moment of inertia is just the sum of all the small pieces of mass multiplied by the square of their distances from the axis in question. For an extended body of a regular shape and uniform density, this summation sometimes produces a simple expression that depends on the dimensions, shape and total mass of the object.",2263,1
is fear the walking dead based on the comics,"Fear the Walking Dead -- Fear the Walking Dead is an American post-apocalyptic horror drama television series created by Robert Kirkman and Dave Erickson, that premiered on AMC on August 23, 2015. It is a companion series and prequel to The Walking Dead, which is based on the comic book series of the same name by Robert Kirkman, Tony Moore, and Charlie Adlard.",1035,1
